Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,1,43,1,2,3711,2,2,2,2,5,4,4,4,4,4,4,3,4,3,12,28.0
1,1,13,0,1,328,2,2,2,4,2,2,2,2,1,3,4,1,4,2,20,18.0
1,1,44,1,2,2602,5,5,5,5,5,4,4,5,5,5,5,3,5,3,0,0.0
1,1,20,1,2,491,3,4,4,4,3,3,3,3,3,5,4,1,4,3,40,23.0
1,1,85,1,2,1666,3,1,1,1,3,3,3,4,2,4,3,3,1,3,0,5.0
0,1,67,0,1,689,1,5,2,2,5,4,5,3,3,2,3,3,3,3,0,0.0
1,1,15,0,1,545,2,5,2,1,1,2,1,1,1,4,5,4,2,1,20,18.0
0,1,33,1,0,404,4,4,4,4,4,4,4,4,3,4,3,2,4,4,0,0.0
1,1,36,1,2,511,5,1,5,5,5,5,4,5,5,5,5,4,5,5,0,0.0
0,1,56,0,2,1310,4,4,4,3,4,5,5,3,3,4,3,5,3,5,0,0.0
0,1,27,1,2,2361,3,1,3,1,3,3,3,3,1,4,4,4,3,3,0,0.0
1,1,23,0,1,184,3,1,3,3,1,3,1,1,4,1,2,3,3,1,25,61.0
1,1,50,1,0,518,5,4,4,4,5,5,5,5,2,4,4,2,2,5,0,1.0
1,1,56,0,1,1325,3,5,3,2,1,3,1,1,3,2,3,4,4,1,1,0.0
0,0,29,1,0,744,3,3,3,5,4,3,4,4,4,5,3,1,1,4,1,2.0
1,1,66,0,1,919,5,4,5,4,2,5,2,2,4,4,1,1,4,2,8,0.0
0,1,48,1,1,158,3,5,5,5,1,4,3,4,4,3,4,2,4,4,0,0.0
0,1,49,1,1,873,4,2,2,2,3,3,3,4,4,4,4,3,4,2,11,1.0
0,0,24,1,2,488,0,0,0,2,4,0,4,4,4,4,4,1,5,4,7,0.0
0,1,52,1,2,3515,3,3,3,3,3,4,4,4,4,4,4,5,4,5,0,0.0
0,1,69,0,1,366,1,5,1,3,1,1,1,2,2,1,4,5,2,4,61,49.0
1,1,13,0,1,356,5,2,5,4,3,5,3,3,2,4,3,2,4,3,5,0.0
0,1,50,1,2,2475,3,3,3,3,5,3,5,5,5,5,5,4,5,3,0,0.0
1,1,49,1,2,432,5,5,5,5,3,4,4,3,3,4,3,4,3,3,23,4.0
0,1,24,0,1,240,4,5,0,4,2,0,2,2,4,2,5,3,5,2,3,0.0
1,1,33,1,1,302,0,0,0,4,2,5,2,2,2,5,5,5,2,2,0,0.0
0,1,19,0,1,429,3,3,3,1,4,3,4,4,4,2,4,1,4,4,42,33.0
1,1,44,1,1,507,1,0,0,4,1,1,1,1,3,2,4,1,4,1,0,0.0
1,1,66,1,2,1620,5,5,5,5,2,3,5,4,4,4,4,3,4,5,0,5.0
0,0,22,1,2,554,5,0,5,5,3,5,3,3,5,2,4,1,4,3,0,0.0
0,1,59,0,1,252,1,2,1,3,3,3,3,2,2,1,2,1,2,1,0,0.0
1,1,14,0,1,427,3,4,3,1,2,3,2,2,5,2,5,2,4,2,32,70.0
1,1,45,1,2,2673,2,2,2,2,5,4,5,4,4,4,4,3,4,5,0,0.0
0,1,39,0,1,481,3,2,3,4,5,3,5,5,1,3,4,1,3,5,7,0.0
1,1,40,1,2,334,2,2,2,2,3,4,4,4,4,4,4,4,4,3,0,39.0
0,1,40,1,2,163,1,1,1,1,4,4,4,4,4,5,4,5,4,4,0,2.0
0,1,11,0,0,404,1,2,1,4,4,1,4,4,3,2,3,2,4,4,2,0.0
0,1,37,1,2,3987,4,1,4,1,5,4,3,4,4,4,4,2,4,2,0,3.0
0,1,45,1,2,2311,2,2,2,2,5,5,5,4,4,5,5,5,3,5,0,21.0
1,1,66,0,1,2402,3,4,2,3,5,2,5,5,1,4,3,2,4,5,0,0.0
0,1,49,1,2,1990,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0.0
1,0,20,1,1,342,4,0,4,3,3,4,3,3,3,5,5,4,5,3,0,0.0
1,1,29,1,2,2543,4,4,4,4,5,5,5,5,4,2,5,3,4,5,0,0.0
1,1,46,0,0,370,2,2,2,4,2,2,2,2,3,1,4,1,4,2,60,47.0
1,1,41,0,2,1183,4,4,4,3,2,3,5,1,1,4,1,3,1,5,0,8.0
0,1,48,1,2,967,2,2,2,2,4,4,4,5,5,5,5,5,5,5,0,0.0
1,1,44,1,2,116,3,3,3,3,4,4,1,5,5,5,5,5,5,4,16,25.0
0,1,9,0,1,399,2,4,2,5,1,2,1,1,3,4,3,5,2,1,0,0.0
0,1,40,1,2,3194,3,1,2,1,2,3,4,3,3,3,3,1,3,4,106,88.0
0,1,73,1,0,391,4,2,2,2,4,4,4,3,3,4,3,3,3,1,0,4.0
0,1,47,0,1,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31.0
0,1,47,1,1,363,4,4,4,4,2,2,5,5,5,4,5,4,5,3,87,80.0
0,1,64,1,2,3961,1,1,4,1,3,4,5,4,4,5,4,3,4,3,23,18.0
1,0,39,1,2,204,2,3,3,4,3,3,3,3,5,4,5,5,5,3,35,35.0
0,1,14,0,1,328,4,3,4,2,3,4,2,3,4,3,5,4,2,3,20,23.0
1,1,46,1,1,250,4,1,1,1,4,4,4,4,5,2,5,1,1,4,0,0.0
1,1,47,1,2,3253,2,4,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0
0,0,54,1,2,1111,2,2,2,3,2,2,2,2,4,5,5,5,5,2,38,36.0
1,0,14,0,1,163,4,5,4,3,2,4,2,2,3,3,4,4,5,2,0,0.0
0,1,27,0,1,2139,1,5,1,5,5,1,5,5,4,3,3,3,5,5,34,3.0
1,1,9,0,1,337,3,1,3,3,3,3,3,3,2,1,2,4,2,3,23,20.0
1,1,57,1,2,2475,1,1,3,1,4,4,5,4,4,4,4,5,4,5,1,0.0
0,1,21,0,0,813,3,4,3,3,3,3,3,3,4,5,4,5,4,3,1,0.0
1,1,45,1,2,2930,0,1,1,2,4,5,5,1,1,1,1,4,1,4,0,0.0
1,1,32,1,2,2485,2,1,1,1,2,2,2,2,4,4,4,4,3,2,102,85.0
1,1,39,0,1,409,2,4,2,4,2,2,2,2,3,2,2,5,4,2,0,0.0
0,0,42,1,1,235,3,3,3,4,3,3,3,3,4,3,4,3,3,3,0,9.0
0,1,34,1,2,2314,2,3,3,3,2,1,2,2,2,2,2,3,2,3,30,18.0
0,1,53,1,1,289,3,2,2,2,3,1,1,3,3,3,3,1,3,3,117,104.0
1,1,50,1,2,1822,0,0,0,2,5,5,4,2,2,2,2,3,2,5,0,0.0
0,0,24,1,2,391,3,3,3,3,3,3,4,3,2,5,4,3,4,3,71,59.0
0,1,47,1,1,179,4,1,1,1,2,3,3,4,4,4,4,1,4,4,43,29.0
0,1,55,1,2,2313,5,5,5,5,2,4,4,4,4,4,4,5,4,3,0,0.0
0,0,57,1,1,665,4,4,4,3,2,4,1,2,4,5,4,3,3,2,37,91.0
0,0,37,1,1,343,1,0,1,4,1,1,1,1,2,1,3,2,4,1,0,0.0
0,1,59,0,1,383,2,5,2,1,2,5,4,1,1,2,1,4,1,5,0,0.0
1,1,41,1,2,2992,2,2,2,2,5,5,5,5,5,5,5,4,5,4,4,0.0
0,1,34,1,2,1514,2,2,2,2,5,5,4,4,4,4,4,5,4,3,0,0.0
1,0,42,1,1,337,4,2,4,4,3,4,3,3,3,2,4,3,3,3,17,10.0
0,0,44,1,2,408,5,5,5,4,2,5,2,2,5,4,4,4,5,2,0,0.0
1,1,23,1,2,2475,5,5,5,5,4,4,4,3,2,4,5,4,3,4,0,31.0
1,0,18,1,1,228,2,2,2,3,1,2,1,1,3,3,3,1,3,1,0,0.0
1,1,51,1,2,1460,2,2,2,2,4,4,5,4,4,5,4,5,4,5,35,28.0
0,1,36,1,1,1158,5,5,5,5,5,5,5,5,2,3,3,5,4,5,0,0.0
0,1,14,0,2,1102,1,4,1,3,1,1,1,1,2,1,3,2,4,1,17,18.0
0,1,24,1,2,3302,3,5,5,5,3,3,3,3,4,3,3,1,4,3,0,0.0
0,1,40,1,2,554,2,2,2,2,1,3,4,2,2,2,2,3,2,4,0,0.0
1,1,53,0,1,86,2,4,2,3,3,2,3,3,4,4,5,3,5,3,0,0.0
1,1,49,1,1,867,4,1,1,1,4,4,4,4,5,3,4,4,1,4,0,0.0
1,1,61,1,2,1524,2,2,2,2,3,5,5,2,2,2,2,5,2,3,0,0.0
1,0,28,1,2,1258,4,5,5,3,2,5,2,2,3,5,5,3,4,2,0,0.0
1,1,58,0,1,1400,3,5,3,3,4,3,4,4,3,4,5,5,4,4,0,0.0
1,1,17,1,1,1183,2,4,4,4,2,1,3,2,4,5,4,2,3,2,19,25.0
0,1,33,1,2,1683,2,2,2,2,5,4,4,4,4,4,4,5,4,5,0,0.0
1,1,46,1,1,319,2,3,3,3,2,2,2,2,3,5,4,2,4,2,9,14.0
1,1,26,1,2,3078,2,1,1,1,2,2,2,2,1,4,3,3,3,2,0,12.0
0,1,43,1,1,946,5,3,3,3,4,1,2,5,5,5,5,2,5,2,0,0.0
1,1,26,1,2,1609,5,5,3,5,5,5,5,5,3,4,4,3,4,5,34,5.0
0,1,28,1,2,3098,2,2,5,2,2,2,2,2,1,4,3,1,3,2,0,5.0
0,1,19,0,1,331,2,2,2,3,3,2,3,3,3,1,3,3,3,3,0,0.0
1,1,43,1,1,1172,2,4,4,4,2,2,2,2,4,4,1,3,2,2,0,6.0
0,1,67,0,1,462,5,5,5,4,5,5,5,5,5,5,5,4,5,5,0,0.0
0,1,38,0,1,1182,2,5,2,3,5,2,5,5,5,5,4,3,4,5,0,0.0
1,1,52,1,2,1875,3,3,3,3,5,4,5,3,3,3,3,3,3,4,0,0.0
1,1,65,0,1,1590,1,1,1,3,4,1,4,4,4,4,3,2,2,4,1,0.0
0,1,49,1,2,349,2,1,2,1,2,3,3,2,2,2,2,2,2,4,27,12.0
0,1,49,1,2,2613,2,2,2,2,5,4,5,4,4,4,4,4,4,3,0,0.0
0,1,10,0,1,946,1,4,1,3,1,2,2,3,2,1,5,2,1,2,313,327.0
1,1,48,1,2,2868,5,5,1,5,5,5,5,5,5,5,5,3,5,5,3,0.0
1,1,47,1,2,2292,2,5,5,5,4,3,4,2,2,2,2,3,2,2,5,0.0
0,1,20,0,1,679,2,5,2,1,3,2,3,3,3,5,5,3,4,3,0,0.0
1,1,48,1,2,2427,2,2,2,2,5,4,5,4,4,4,4,3,4,4,1,0.0
1,1,37,1,1,303,4,2,2,2,4,4,4,4,5,5,5,5,2,4,0,0.0
0,1,14,0,1,634,4,5,4,1,4,4,4,4,4,5,5,3,4,4,15,17.0
1,1,25,0,0,347,1,4,2,3,5,2,5,5,4,4,5,3,5,5,62,57.0
0,1,44,0,1,448,4,4,4,1,4,5,4,5,5,4,5,3,5,3,0,0.0
0,1,45,1,2,2836,2,2,4,2,5,1,1,4,4,4,4,5,4,5,0,0.0
1,1,44,1,2,1922,1,3,3,3,4,2,2,1,1,1,1,3,1,3,27,18.0
1,1,49,1,2,1877,5,5,5,5,4,4,4,3,3,3,3,3,3,3,0,0.0
1,1,40,1,2,3588,2,2,2,2,4,1,2,5,5,4,5,2,5,1,0,0.0
0,0,21,1,2,337,5,0,4,2,4,4,4,4,4,3,5,4,5,4,37,32.0
0,0,18,1,1,1303,1,1,1,3,5,1,5,5,4,5,4,2,3,5,0,0.0
1,1,26,0,1,965,3,1,3,2,4,3,4,4,3,3,2,3,2,4,0,0.0
1,1,40,1,2,1620,2,2,2,2,4,3,4,5,5,5,5,4,5,5,0,0.0
1,1,45,1,2,759,1,1,2,1,3,2,3,4,4,4,4,1,4,4,14,4.0
0,1,58,0,1,1739,1,4,1,2,4,4,5,3,3,1,3,5,3,4,48,46.0
0,1,39,1,2,733,2,2,5,2,3,5,5,4,4,4,4,4,4,4,0,0.0
1,1,38,1,2,3391,2,2,2,2,4,5,2,5,5,5,5,1,5,5,0,0.0
1,1,56,1,2,2987,4,4,4,4,5,4,4,3,3,4,3,4,3,4,0,0.0
1,1,34,0,0,587,3,5,3,3,5,3,4,5,3,2,4,3,5,5,0,0.0
1,1,26,0,1,187,2,5,2,2,1,2,1,1,4,3,4,3,5,1,0,0.0
0,1,44,0,1,321,3,2,3,3,3,3,3,1,1,3,1,3,1,1,0,0.0
1,1,22,1,2,1258,2,1,1,1,2,2,2,2,1,4,4,3,4,2,0,0.0
0,1,56,1,1,546,2,2,2,2,4,4,3,2,2,2,2,2,2,2,12,11.0
0,1,43,1,2,2473,2,4,4,4,2,2,3,2,2,2,2,2,2,2,0,0.0
1,1,60,0,0,1430,1,1,1,2,3,1,3,3,4,3,2,1,2,3,4,26.0
1,1,12,0,1,226,2,5,2,3,1,2,1,1,5,3,4,5,5,1,0,0.0
1,1,50,1,2,1784,1,1,1,1,3,4,4,4,4,5,4,3,4,5,0,0.0
1,1,43,1,1,639,5,5,5,5,5,5,5,5,5,5,5,1,3,5,2,0.0
1,1,41,0,0,235,1,2,1,2,2,1,1,2,3,5,2,1,2,2,0,3.0
0,1,52,1,2,1773,2,2,2,2,2,3,5,3,3,3,3,5,3,4,14,11.0
1,1,36,1,1,1065,2,3,3,3,2,2,2,2,1,3,3,2,3,2,0,0.0
1,1,44,1,2,1947,3,3,3,3,5,3,4,5,5,5,5,5,5,3,0,25.0
0,0,16,1,2,1149,0,0,0,2,0,2,2,4,4,3,4,2,3,2,11,3.0
0,1,52,1,2,1749,2,2,2,2,3,4,4,3,3,4,3,3,3,3,0,0.0
0,1,29,1,0,737,4,2,2,2,4,4,4,4,3,2,1,4,2,4,0,0.0
0,1,54,1,2,452,2,2,2,2,4,4,4,5,5,5,5,4,5,5,0,0.0
1,1,47,1,0,373,4,5,5,5,4,4,4,4,2,2,2,5,5,4,4,5.0
1,1,73,1,0,203,1,1,3,1,2,1,2,2,1,5,3,4,3,2,3,0.0
0,0,30,1,2,680,1,1,1,5,5,1,5,5,4,3,5,5,5,5,0,0.0
0,1,47,1,2,3922,1,1,1,1,5,4,1,5,5,5,3,1,5,3,0,0.0
1,1,22,1,1,533,1,1,3,1,1,1,1,1,4,3,3,3,3,1,0,0.0
0,1,35,1,1,419,4,1,1,1,4,4,4,4,3,4,5,2,5,4,77,82.0
1,1,39,0,0,937,1,4,1,3,1,1,1,1,3,3,3,1,1,1,186,163.0
1,1,22,0,1,229,2,4,2,4,3,2,5,3,5,4,4,5,5,3,0,0.0
1,1,21,1,2,1720,4,4,2,4,5,5,5,5,2,2,2,4,2,5,0,0.0
1,1,35,0,1,550,3,3,3,3,5,3,5,5,3,4,4,3,4,5,9,0.0
1,1,43,1,0,369,2,3,3,3,2,2,2,2,4,2,4,4,4,2,0,1.0
0,0,44,1,1,678,2,2,2,4,1,2,1,1,4,5,4,3,4,1,0,0.0
0,1,49,0,2,496,4,4,4,2,3,4,4,2,2,4,2,5,2,5,0,0.0
0,1,35,0,1,954,4,0,4,3,2,4,2,2,5,3,4,2,1,2,23,32.0
1,1,50,1,2,3238,2,2,2,2,4,4,4,3,3,3,3,3,3,4,0,0.0
1,1,39,1,2,763,4,4,4,4,2,2,3,5,5,5,5,1,5,5,0,3.0
1,1,50,1,2,1555,0,4,0,2,3,4,5,5,5,5,5,4,5,3,2,0.0
0,1,15,0,0,435,5,5,5,3,3,5,3,3,5,2,5,4,5,3,0,0.0
1,1,46,1,2,1866,4,1,1,1,1,3,3,4,4,4,4,2,4,4,11,8.0
0,1,65,0,1,507,1,5,1,3,3,4,4,5,5,1,5,3,5,3,0,18.0
0,1,48,1,0,3302,1,1,1,1,1,2,2,2,5,4,4,2,2,2,0,0.0
1,1,58,1,2,3361,3,3,3,3,5,4,5,5,5,5,5,3,5,4,0,0.0
1,1,40,1,2,2139,3,3,3,3,2,3,5,2,2,2,2,4,2,4,7,0.0
1,1,42,1,2,337,2,2,2,2,3,4,5,4,4,4,4,5,4,4,0,0.0
0,0,18,1,1,889,3,3,3,2,5,3,4,5,3,2,3,3,2,5,98,98.0
0,1,9,0,0,306,2,4,2,3,1,2,4,1,3,2,3,4,4,1,0,0.0
1,1,68,1,2,302,0,0,0,3,1,5,1,4,4,4,4,2,4,4,6,0.0
0,1,57,1,2,2717,2,2,2,2,4,5,5,4,4,4,4,5,4,3,6,0.0
1,1,60,1,1,563,3,4,4,4,3,3,3,3,4,3,4,4,3,3,15,5.0
1,1,28,1,2,2440,3,3,3,3,4,4,4,4,5,1,1,3,2,4,0,0.0
1,1,50,0,1,1990,1,1,1,3,1,1,1,1,4,2,3,1,2,1,0,12.0
1,0,26,1,2,2276,2,2,2,4,3,2,3,3,3,3,3,3,4,3,33,50.0
1,1,64,0,1,237,3,4,3,5,5,3,3,5,4,5,5,4,5,5,0,0.0
1,1,46,1,0,526,4,5,5,5,4,4,4,4,1,3,4,1,2,4,83,101.0
1,1,52,1,2,3907,2,2,2,2,5,4,5,3,3,3,3,4,3,4,11,9.0
0,0,27,1,2,991,2,2,2,3,3,2,3,3,4,3,5,5,4,3,0,0.0
1,1,26,1,2,2684,1,1,1,1,1,1,1,1,2,3,2,2,4,1,15,2.0
1,1,8,0,1,626,2,5,2,3,2,2,2,2,3,5,4,3,4,2,0,0.0
1,0,22,1,2,222,4,0,4,2,5,4,5,5,5,1,3,4,4,5,0,0.0
1,0,27,1,1,328,1,5,1,3,2,1,2,2,4,1,4,4,5,2,0,56.0
1,0,41,1,1,628,2,4,2,3,5,2,5,5,2,3,3,2,4,5,0,11.0
1,1,21,0,1,270,3,0,3,3,3,3,3,3,4,5,5,3,4,3,0,0.0
1,1,43,0,1,308,3,5,3,1,1,3,1,1,3,3,5,4,4,1,0,0.0
1,0,33,1,2,630,1,1,1,4,1,3,3,3,4,5,5,3,4,3,145,152.0
1,1,60,1,2,2725,2,2,4,2,3,5,4,4,4,4,4,4,4,4,79,54.0
0,0,35,1,2,1212,2,2,2,5,2,2,2,2,3,3,4,3,4,2,0,0.0
0,1,45,0,1,2139,0,4,0,1,2,5,5,1,1,0,1,5,1,4,0,0.0
0,1,61,0,1,862,2,5,2,1,2,4,5,1,1,2,1,4,1,5,0,10.0
1,1,49,1,2,404,4,4,4,4,4,4,2,5,5,5,5,1,5,5,0,0.0
1,1,9,0,1,386,3,5,3,3,1,3,1,1,5,3,4,4,4,1,0,4.0
0,1,30,1,2,1951,3,4,4,4,3,3,3,3,4,3,4,2,3,3,0,0.0
0,1,46,1,2,290,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0
0,1,15,0,0,2454,1,5,1,2,3,1,3,3,3,3,4,1,3,3,0,0.0
1,1,37,1,2,290,0,0,0,3,5,5,4,2,2,2,2,4,2,5,3,0.0
1,1,22,0,1,712,2,4,3,1,1,3,1,1,3,2,4,3,5,1,0,25.0
0,0,55,1,2,1744,2,2,2,3,5,2,5,5,3,2,3,5,4,5,28,0.0
1,1,28,1,2,1734,4,4,4,4,2,2,2,2,3,2,4,3,4,2,0,0.0
1,0,49,1,1,674,2,2,2,2,2,2,2,2,2,2,5,4,2,2,0,0.0
0,1,11,0,1,456,3,4,3,4,1,3,1,1,4,4,5,4,5,1,0,0.0
0,0,21,1,1,449,5,0,5,3,2,5,2,2,5,2,5,3,5,2,0,0.0
1,0,46,1,2,1023,3,3,3,4,4,3,4,4,3,2,4,4,5,4,3,0.0
0,1,40,1,2,679,2,2,2,2,3,5,5,5,5,5,5,5,5,5,6,12.0
1,1,16,0,1,813,1,3,1,4,3,1,3,3,4,3,2,4,4,3,0,0.0
1,0,22,1,1,803,4,4,4,3,1,4,1,1,1,5,4,4,3,1,0,0.0
1,0,69,1,2,491,4,4,4,1,2,4,2,2,3,3,4,3,4,2,0,0.0
0,1,41,1,2,226,1,1,4,1,4,5,4,5,5,5,5,3,5,4,12,0.0
0,1,53,0,1,761,3,3,3,4,3,2,2,5,5,3,5,5,5,3,0,17.0
1,1,29,0,0,2077,3,3,3,2,3,3,3,3,1,2,2,1,3,3,36,15.0
0,1,39,1,2,3660,4,2,2,2,2,3,3,4,4,4,4,4,4,1,65,55.0
0,1,50,1,2,2260,1,1,1,1,5,5,5,5,5,5,5,4,5,5,21,16.0
0,1,30,1,2,3873,3,3,3,3,4,5,4,4,4,4,4,3,4,4,0,0.0
1,1,37,1,2,331,5,5,5,5,3,5,4,5,5,5,5,3,5,4,0,0.0
0,0,54,1,1,160,3,2,3,4,2,3,2,2,4,5,4,4,3,2,0,11.0
0,1,50,1,0,427,4,5,5,5,5,4,1,4,4,4,4,4,4,1,38,23.0
0,0,64,1,2,255,1,1,1,2,4,1,4,4,1,3,2,2,3,4,1,22.0
0,1,23,1,2,1717,3,3,5,3,3,3,3,3,2,3,4,2,3,3,31,15.0
0,1,43,1,2,853,2,2,2,2,4,4,4,5,5,5,5,4,5,5,0,0.0
0,1,64,0,1,1055,3,4,4,3,3,5,4,4,4,4,4,3,4,5,11,17.0
1,1,56,1,2,1685,3,5,3,3,1,2,5,4,4,4,4,5,4,5,15,18.0
0,1,52,1,2,2654,4,5,4,4,2,4,5,4,4,4,4,5,4,5,14,10.0
1,1,37,1,0,158,5,1,1,1,5,5,5,5,4,1,4,2,1,5,0,0.0
0,1,64,0,1,781,4,2,4,3,1,3,3,3,3,4,5,3,3,3,63,57.0
0,1,19,0,1,134,1,5,1,2,4,1,4,4,4,5,5,3,4,4,0,0.0
0,1,54,1,2,2652,1,4,4,4,2,4,3,2,2,2,1,2,2,4,0,0.0
1,1,40,1,2,2922,3,1,1,1,2,3,4,3,3,3,3,2,3,3,2,0.0
0,0,25,1,1,821,3,3,3,2,2,3,2,2,2,5,3,4,3,2,0,5.0
1,1,62,0,1,920,4,5,4,2,3,4,1,3,4,3,4,3,5,3,0,1.0
1,1,46,1,2,1204,2,3,2,2,2,4,5,5,5,5,5,3,5,3,0,0.0
0,1,69,0,1,2486,4,3,4,1,2,5,3,3,3,4,3,1,3,4,4,16.0
1,1,49,0,1,179,2,5,2,4,2,2,3,3,2,4,4,3,3,3,152,162.0
1,1,36,1,1,337,1,3,3,3,1,1,1,1,1,1,3,3,3,1,8,17.0
0,1,42,1,2,2889,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,0.0
1,0,52,0,1,257,3,1,3,3,4,3,4,4,2,4,4,2,4,4,0,0.0
1,1,33,1,2,3060,2,2,2,2,4,4,4,4,3,4,3,5,3,4,0,0.0
1,1,45,1,2,271,2,2,4,2,2,5,5,4,4,4,4,5,4,5,0,0.0
1,1,72,1,2,2241,4,4,4,4,3,2,2,4,4,4,4,1,4,4,61,60.0
0,0,14,1,1,763,4,4,4,2,4,4,4,4,3,5,1,4,5,4,0,0.0
1,1,38,0,0,1846,3,0,3,2,2,3,2,2,5,3,3,4,5,2,25,27.0
0,1,62,1,2,3467,3,3,3,3,1,5,4,5,5,5,5,2,5,2,0,0.0
1,1,45,0,1,432,2,4,2,3,1,2,1,1,5,2,4,4,3,1,0,0.0
1,1,42,1,2,2788,4,4,4,4,4,3,4,3,3,4,3,5,3,4,16,4.0
0,1,57,1,1,446,2,4,2,4,4,4,3,2,2,2,2,3,2,2,8,0.0
1,1,11,0,1,1546,4,5,4,3,4,4,4,4,3,3,4,4,4,4,0,0.0
0,1,10,0,1,2454,2,5,2,3,5,2,1,5,3,5,3,4,4,5,0,0.0
0,0,25,1,1,577,2,1,2,2,3,2,3,3,1,5,3,1,3,3,0,0.0
1,1,44,1,2,1790,2,4,4,4,2,2,2,1,4,4,4,2,1,2,267,255.0
1,0,29,1,2,944,3,3,3,3,4,3,4,4,2,4,4,2,4,4,48,51.0
0,1,49,0,1,319,1,1,3,3,2,4,3,5,5,3,5,2,5,4,0,0.0
1,0,25,1,2,484,2,0,3,4,1,3,1,1,3,5,5,5,5,1,0,0.0
0,1,60,1,1,1754,2,4,4,4,1,2,3,2,2,2,2,1,2,4,0,0.0
1,1,38,0,0,296,3,4,3,2,2,3,2,2,3,3,4,4,4,2,16,11.0
0,1,58,0,1,1754,4,3,4,4,4,3,2,3,3,4,1,1,3,4,0,0.0
1,1,54,0,1,226,3,5,3,2,4,3,4,4,4,2,4,5,4,4,0,0.0
1,1,56,1,2,1846,1,1,1,1,5,4,5,5,5,5,5,4,5,5,0,0.0
1,0,22,1,1,588,1,3,1,3,5,1,5,5,1,2,4,1,3,5,0,0.0
0,1,51,1,1,316,2,5,5,5,3,2,2,2,2,2,2,1,2,3,0,5.0
1,0,40,1,2,460,1,2,2,3,5,2,5,5,4,1,4,4,3,5,0,0.0
0,0,30,1,1,600,1,4,1,3,2,1,2,2,3,1,3,3,3,2,45,35.0
1,1,27,1,0,227,3,5,3,5,3,4,3,3,4,1,2,1,1,3,0,0.0
0,1,30,0,1,929,1,5,1,1,3,1,3,3,3,3,4,5,5,3,45,40.0
1,1,64,0,1,283,1,4,1,4,3,1,4,3,3,4,5,3,4,3,0,0.0
0,0,45,1,2,1164,3,3,3,3,4,3,4,4,4,5,5,4,5,4,1,1.0
1,1,27,0,1,645,3,5,3,1,4,3,4,4,3,4,5,4,4,4,0,0.0
1,0,23,1,1,987,3,3,3,3,5,3,5,5,2,5,4,2,3,5,24,14.0
1,1,36,1,2,1613,4,4,4,4,1,2,2,5,5,5,5,2,5,4,108,99.0
0,1,28,1,2,3665,1,1,1,1,4,4,4,4,3,4,4,4,4,4,44,77.0
1,0,41,1,2,1984,3,3,3,3,2,3,2,2,3,4,5,3,5,2,0,0.0
1,1,48,1,2,521,3,3,3,3,2,5,4,4,4,4,4,4,4,5,0,0.0
0,1,47,1,2,317,3,1,1,1,4,4,3,3,3,3,3,4,3,4,19,6.0
